id;name;avatar;phone_number;is_active
1;pointer sourire;au cas où;spécialiste;true
2;alors que;collègue rejeter;affronter généraliser comporter;true
3;avoir;assez vider reporter;quand;true
4;tant sombre vouloir;inventer;pourvu que;true
5;clac;mieux céans;comment;false
6;afin que clac sans que;sitôt que nonobstant;longtemps membre de l’équipe;false
7;patientèle convertir;étant donné que simple circulaire;jeune enfant quand en decà de;true
8;témoigner;hirsute neutre;atchoum tourner;true
9;bien que suivant;envoyer;grrr;true
10;manger autrefois;fade dans la mesure où;commis bien que clac;false
